5000_q1,10000_q1,25000_q1,50000_q1,5000_q2,10000_q2,25000_q2,50000_q2,5000_q3,10000_q3,25000_q3,50000_q3,5000_q4,10000_q4,25000_q4,50000_q4,5000_q5,10000_q5,25000_q5,50000_q5
1.05E-04,5.30E-05,2.07E-05,9.84E-06,9.12E-05,4.38E-05,2.17E-05,1.04E-05,2.53E-05,3.90E-05,1.41E-05,8.37E-06,7.43E-06,1.74E-05,1.08E-05,1.04E-05,4.74E-07,2.24E-06,1.45E-06,1.44E-06
9.81E-05,5.11E-05,2.00E-05,9.44E-06,7.57E-05,4.95E-05,2.08E-05,9.78E-06,3.92E-05,0.000105155,1.07E-05,6.23E-06,1.20E-05,1.41E-05,1.35E-05,1.05E-05,2.81E-06,4.21E-06,1.47E-06,1.42E-05
1.00E-04,5.18E-05,2.00E-05,1.06E-05,0.000143093,5.20E-05,1.93E-05,9.96E-06,3.64E-05,2.39E-05,2.00E-05,8.91E-06,1.24E-05,1.46E-05,1.05E-05,5.62E-06,3.10E-06,1.47E-06,3.06E-06,2.21E-06
9.95E-05,4.99E-05,1.92E-05,1.02E-05,0.000107522,5.14E-05,2.20E-05,9.85E-06,3.98E-05,2.30E-05,1.94E-05,6.90E-06,3.10E-05,3.17E-05,9.55E-06,9.23E-06,0.0008234,8.95E-07,1.86E-06,1.42E-06
9.48E-05,5.17E-05,2.13E-05,9.96E-06,9.18E-05,5.08E-05,2.02E-05,1.07E-05,2.46E-05,1.93E-05,1.79E-05,8.71E-06,0.000105197,2.73E-05,6.91E-06,4.54E-06,1.07E-05,8.13E-07,4.00E-07,1.23E-06
1.01E-04,4.92E-05,2.02E-05,1.02E-05,0.000140604,5.99E-05,1.95E-05,1.02E-05,0.000137589,8.41E-05,1.48E-05,8.74E-06,2.01E-05,0.00014083,1.48E-05,6.15E-06,5.59E-07,5.69E-06,9.98E-07,3.45E-06
9.26E-05,5.18E-05,2.05E-05,1.00E-05,7.44E-05,4.95E-05,1.92E-05,9.80E-06,4.86E-05,2.32E-05,1.21E-05,8.61E-06,6.96E-05,5.78E-06,2.00E-05,5.10E-06,3.69E-06,3.09E-06,3.31E-06,1.64E-06
1.01E-04,4.60E-05,1.95E-05,1.05E-05,8.59E-05,4.90E-05,2.15E-05,9.69E-06,2.91E-05,2.57E-05,1.71E-05,1.10E-05,4.33E-05,2.55E-05,6.88E-06,5.35E-06,2.40E-06,7.61E-07,1.38E-06,1.62E-06
1.04E-04,4.95E-05,2.06E-05,9.98E-06,0.000116215,8.21E-05,1.97E-05,1.02E-05,3.12E-05,2.98E-05,8.61E-06,1.46E-05,1.17E-05,1.00E-05,4.98E-05,7.21E-06,4.48E-05,1.92E-06,4.20E-06,3.42E-06
9.93E-05,4.92E-05,1.95E-05,1.03E-05,0.000244655,4.74E-05,1.94E-05,1.06E-05,2.77E-05,1.64E-05,2.10E-05,7.38E-06,1.12E-05,2.84E-05,1.31E-05,9.29E-06,3.67E-06,1.19E-06,1.81E-06,2.83E-06
9.45E-05,4.86E-05,2.07E-05,9.86E-06,7.88E-05,4.78E-05,1.92E-05,1.06E-05,3.69E-05,6.90E-05,1.89E-05,1.28E-05,1.49E-05,1.05E-05,1.50E-05,6.38E-06,1.84E-06,1.01E-05,1.77E-06,1.43E-06
1.01E-04,4.84E-05,2.00E-05,9.20E-06,9.70E-05,5.07E-05,2.01E-05,9.84E-06,4.04E-05,2.05E-05,4.64E-05,1.24E-05,3.08E-05,2.93E-05,8.43E-06,7.71E-06,2.56E-06,4.26E-06,4.05E-06,2.48E-05
9.67E-05,4.71E-05,2.13E-05,9.95E-06,8.81E-05,5.01E-05,2.02E-05,1.11E-05,2.00E-05,2.01E-05,2.45E-05,1.00E-05,1.29E-05,1.35E-05,1.49E-05,1.16E-05,3.02E-06,2.68E-05,2.35E-06,1.35E-06
9.61E-05,5.46E-05,2.01E-05,1.02E-05,0.000113213,4.75E-05,2.13E-05,1.08E-05,2.81E-05,6.87E-05,1.24E-05,9.25E-06,1.31E-05,3.37E-05,1.73E-05,1.17E-05,3.57E-06,1.22E-06,6.86E-06,4.13E-06
1.01E-04,4.98E-05,2.02E-05,9.91E-06,0.000111501,4.93E-05,1.91E-05,1.04E-05,4.55E-05,5.31E-05,1.54E-05,7.03E-06,2.92E-05,1.34E-05,3.45E-05,6.40E-06,2.99E-06,1.14E-05,1.95E-06,4.04E-06
9.76E-05,5.14E-05,2.11E-05,1.00E-05,6.85E-05,4.58E-05,2.08E-05,1.07E-05,6.03E-05,5.81E-05,1.81E-05,9.97E-06,1.81E-05,1.51E-05,1.16E-05,8.71E-06,1.32E-06,5.75E-06,1.63E-06,5.53E-06
9.68E-05,4.87E-05,2.01E-05,9.93E-06,0.000137972,4.88E-05,1.94E-05,9.79E-06,3.33E-05,2.45E-05,1.62E-05,7.35E-06,1.15E-05,2.04E-05,1.16E-05,7.60E-06,9.60E-06,4.98E-06,2.81E-06,1.25E-06
9.81E-05,4.99E-05,2.01E-05,1.07E-05,6.69E-05,5.17E-05,1.94E-05,1.03E-05,3.17E-05,0.000113564,3.43E-05,9.09E-06,9.25E-06,8.68E-06,3.71E-05,1.35E-05,6.56E-06,2.82E-06,1.89E-06,1.85E-06
9.13E-05,5.04E-05,1.96E-05,9.75E-06,0.000114725,4.55E-05,1.85E-05,1.01E-05,7.92E-05,3.72E-05,2.55E-05,1.45E-05,5.40E-06,1.18E-05,1.20E-05,2.11E-05,2.62E-06,7.37E-07,2.47E-06,1.30E-06
9.51E-05,5.15E-05,1.93E-05,1.01E-05,7.81E-05,4.35E-05,2.07E-05,1.05E-05,3.34E-05,2.77E-05,1.16E-05,6.84E-06,4.37E-05,3.53E-05,1.11E-05,6.46E-06,3.38E-06,1.36E-06,1.72E-05,2.82E-06
9.36E-05,5.01E-05,1.94E-05,1.04E-05,9.39E-05,4.78E-05,1.98E-05,1.01E-05,1.64E-05,1.33E-05,1.83E-05,8.23E-06,2.27E-05,2.08E-05,8.69E-06,1.10E-05,3.44E-06,3.44E-06,1.28E-06,5.21E-06
9.95E-05,5.16E-05,2.21E-05,9.66E-06,7.36E-05,4.86E-05,1.90E-05,9.90E-06,1.82E-05,4.54E-05,2.41E-05,1.00E-05,2.70E-05,0.000124476,1.20E-05,6.05E-06,6.71E-06,1.68E-06,6.98E-07,1.50E-06
8.93E-05,5.00E-05,1.99E-05,1.07E-05,7.95E-05,5.14E-05,2.10E-05,1.02E-05,7.59E-05,1.63E-05,1.60E-05,8.29E-06,1.66E-05,1.73E-05,6.92E-06,1.49E-05,2.00E-06,3.00E-06,1.60E-06,1.69E-06
1.04E-04,4.91E-05,1.97E-05,9.72E-06,7.22E-05,4.46E-05,1.90E-05,9.50E-06,2.14E-05,2.00E-05,2.73E-05,9.52E-06,1.81E-05,2.66E-05,2.04E-05,3.55E-06,0.000492304,1.98E-06,2.13E-06,2.33E-06
1.01E-04,4.70E-05,2.02E-05,9.60E-06,9.79E-05,5.02E-05,2.13E-05,1.02E-05,2.09E-05,2.10E-05,1.40E-05,1.02E-05,2.30E-05,0.002471915,1.41E-05,6.54E-06,2.12E-06,6.02E-06,2.55E-06,3.61E-06
9.07E-05,4.68E-05,2.06E-05,1.01E-05,6.82E-05,4.05E-05,1.85E-05,9.50E-06,2.51E-05,2.14E-05,1.61E-05,9.64E-06,2.77E-05,2.06E-05,9.21E-06,9.94E-06,1.88E-06,1.94E-06,1.03E-06,1.77E-06
