SPR,PQR,primary_metric_file1,primary_metric_file2
5.5,-1.5,0.1670050941653629,0.1786568927696691
5.5,-1.25,0.1923076929937035,0.2171060016947313
5.5,-1.0,0.2310808897246133,0.2626730035354921
5.5,-0.75,0.2775488401355951,0.3129089864589609
5.5,-0.5,0.3440205944111637,0.3692915641513345
5.5,-0.25,0.415396830570425,0.4271156224693651
5.5,0.0,0.4720052770809652,0.488328130103435
5.5,0.25,0.5207741498448807,0.5476610887050338
5.5,0.5,0.5863665333944141,0.6060520783179799
5.5,0.75,0.6276902705520112,0.6599483443988676
5.5,1.0,0.6572267917423146,0.7094181582513026
5.5,1.25,0.7055856391604551,0.7552891004154545
5.5,1.5,0.7366722422362406,0.7936868916447241
5.5,1.75,0.7499176379429647,0.8248127043091448
5.5,2.0,0.780275223512079,0.8525491406438759
5.5,2.25,0.7704352703426012,0.8737998024672282
5.5,2.5,0.7627692411652104,0.8901089889163715
5.5,2.75,0.7639252014716857,0.9016285000139864
5.5,3.0,0.7356734212446886,0.9091263559062628
5.75,-5.0,0.0062090249295213,0.0066339871192108
5.75,-4.75,0.0082702665103931,0.00839064805161
5.75,-4.5,0.007973295044962,0.0107719014278124
5.75,-4.25,0.0168496795893893,0.0141044467142395
5.75,-4.0,0.014793321114103,0.0178094185466453
5.75,-3.75,0.0208243308139434,0.0225277565558776
5.75,-3.5,0.0223198902496973,0.0288691504522088
5.75,-3.25,0.0298616647662226,0.0365836802975102
5.75,-3.0,0.0334078959530408,0.0466717031998615
5.75,-2.75,0.0462930427493044,0.0594934825168302
5.75,-2.5,0.0616904124917828,0.0751030872316618
5.75,-2.25,0.0763874420693351,0.0933194878846913
5.75,-2.0,0.105834458092871,0.1165223650177149
5.75,-1.75,0.1468093477106712,0.1448508820823135
5.75,-1.5,0.1590879612970129,0.1789614655736409
5.75,-1.25,0.2033628589242374,0.2193691834705807
5.75,-1.0,0.2323102415851533,0.2646897596070794
5.75,-0.75,0.2871233558128058,0.3156453242486051
5.75,-0.5,0.3370530313506613,0.3714151083459337
5.75,-0.25,0.4304507890213434,0.4295244890824201
5.75,0.0,0.4871389766014818,0.4917289550217987
5.75,0.25,0.5163514406876344,0.5507586067233892
5.75,0.5,0.5785620834495733,0.6104073803936269
5.75,0.75,0.6305403700263428,0.6649444206354529
5.75,1.0,0.6660587856685285,0.7159601426465103
5.75,1.25,0.7273598247001899,0.760780270514518
5.75,1.5,0.7602253078589226,0.7987768391332232
5.75,1.75,0.780264347789388,0.832535854105861
5.75,2.0,0.7913541201653427,0.8593856597597267
5.75,2.25,0.8133929765198643,0.8812470156216515
5.75,2.5,0.8351472398075757,0.8987937826211331
5.75,2.75,0.819308471035953,0.9125795728841584
5.75,3.0,0.8069812790394686,0.9229511477653805
5.75,3.25,0.7758106810210728,0.9280044857281644
6.0,-5.0,0.0058177279811983,0.006670745272698
6.0,-4.75,0.0075857103393671,0.0083302037411646
6.0,-4.5,0.0069660761268342,0.0106916681942334
6.0,-4.25,0.0115799352286197,0.0137032054928153
6.0,-4.0,0.0127732404050158,0.017446816010825
6.0,-3.75,0.0177363194688107,0.0221956962451008
6.0,-3.5,0.0233390766333732,0.0292630408941181
6.0,-3.25,0.0282151754191763,0.0368001733016793
6.0,-3.0,0.0381946797978422,0.0465645055304044
6.0,-2.75,0.0465522935952244,0.0602443273697751
6.0,-2.5,0.0621286331435124,0.0752031116890874
6.0,-2.25,0.081689974902438,0.0938519810454473
6.0,-2.0,0.0995054306506225,0.1168173488607104
6.0,-1.75,0.1350396837741788,0.1482745949188142
6.0,-1.5,0.1737164785627285,0.1807064407472803
6.0,-1.25,0.2182923574814884,0.2197750655174566
6.0,-1.0,0.2224117038646339,0.2654576571299892
6.0,-0.75,0.3240480737823273,0.3183035842561607
6.0,-0.5,0.3645693902303489,0.3726685068731625
6.0,-0.25,0.373737782621917,0.4300341112495948
6.0,0.0,0.4732512839657149,0.4938299110163897
