SPR,SPQ,s,Pq,Pr,l,m,median_total_cells,median_resistant_cells,median_transient_cells,median_total_resistant_cells,resistant_fraction,total_resistant_fraction,primary_metric,final_state,num_replicates,replicate_1_primary_metric,replicate_2_primary_metric,replicate_3_primary_metric,replicate_4_primary_metric,replicate_5_primary_metric,replicate_6_primary_metric,replicate_7_primary_metric,replicate_8_primary_metric,replicate_9_primary_metric,replicate_10_primary_metric
2.5,5.0,0.1,0.0006737946999085467,0.00820849986238988,0.0006737946999085467,5.714285714285714e-07,4191056300.5,1248382901.5,58374050.0,1306756951.5,0.29786832053558093,0.31179656339718026,0.31179656339718026,relapsed,10,0.315426054793738,0.3133608326243908,0.31713916544076864,0.3027602319314708,0.31335212555711256,0.3175726566005515,0.31093793485994004,0.30007627923754765,0.3128080892819054,0.31576710204534275
2.5,5.25,0.1,0.0005247518399181385,0.00820849986238988,0.0005247518399181385,5.714285714285714e-07,4145419535.0,1198228911.0,44528107.0,1242757018.0,0.2890488889926071,0.29979040903033716,0.29979040903033716,relapsed,10,0.3130650718714472,0.3096497655649267,0.3109236864664075,0.27042985034282957,0.3102796251329247,0.29975531018577223,0.3029817946465881,0.203195949208905,0.2635087606099306,0.2586182457166765
2.5,5.5,0.1,0.0004086771438464067,0.00820849986238988,0.0004086771438464067,5.714285714285714e-07,4129782884.0,1222929352.0,35422516.5,1258351868.5,0.2961243693313733,0.30470170075410674,0.30470170075410674,relapsed,10,0.30661301815570474,0.30654225854202777,0.2765539712042986,0.17773687358184864,0.3028472874212562,0.3064430786593472,0.2726775813634243,0.3036784590201495,0.3056108479693066,0.30811178404512524
2.5,5.75,0.1,0.0003182780796509667,0.00820849986238988,0.0003182780796509667,5.714285714285714e-07,4166754272.0,1203294169.5,27524047.5,1230818217.0,0.28878452890442013,0.2953901614191469,0.2953901614191469,relapsed,10,0.20244467386028134,0.3008295753540635,0.22496806000203676,0.28197088126740494,0.3001003266424007,0.2936020160658568,0.3025368980634303,0.30367852919572885,0.2960322000386658,0.3038345488691126
2.5,6.0,0.1,0.00024787521766663585,0.00820849986238988,0.00024787521766663585,5.714285714285714e-07,4242381144.0,1222878660.0,22033802.0,1244912462.0,0.2882528981936282,0.2934466328563335,0.2934466328563335,relapsed,10,0.17018771255700524,0.2975249014216049,0.30117868811492454,0.29930789098026733,0.2982629118387698,0.30295601195339356,0.29308955761574085,0.24296256289231669,0.2766694069523756,0.29122284342474364
2.5,6.25,0.1,0.00019304541362277094,0.00820849986238988,0.00019304541362277094,5.714285714285714e-07,4190731340.5,1198592172.0,16927351.5,1215519523.5,0.28601026279508407,0.290049498461759,0.290049498461759,relapsed,10,0.2934957659103779,0.27278228285433503,0.300223736971612,0.29379347834289593,0.25416458325950103,0.29561947653354614,0.2994164935901348,0.28462010444792735,0.29983504036497255,0.2949562659010467
2.5,6.5,0.1,0.00015034391929775727,0.00820849986238988,0.00015034391929775727,5.714285714285714e-07,4151270332.0,1190426403.0,13193416.0,1203619819.0,0.28676195665303156,0.28994012018969617,0.28994012018969617,relapsed,10,0.2970046080417921,0.21906990140295723,0.29149558091820954,0.24854329031347883,0.25908587966146285,0.29122316405893256,0.296349766316883,0.29755175846437965,0.2884806061680396,0.2750427560844385
2.5,6.75,0.1,0.00011708796207911745,0.00820849986238988,0.00011708796207911745,5.714285714285714e-07,4119279690.0,1142376993.0,9954270.0,1152331263.0,0.2773244545091814,0.27974096194473264,0.27974096194473264,relapsed,10,0.19100000473023102,0.22601642031653751,0.2791659851044779,0.2941841013125604,0.28778483959524165,0.2894142676221816,0.2885291239030145,0.2491061735519456,0.23791645687658186,0.28996047061982344
2.5,7.0,0.1,9.118819655545164e-05,0.00820849986238988,9.118819655545164e-05,5.714285714285714e-07,4215371738.5,1205677393.5,8171550.0,1213848943.5,0.2860192334849758,0.2879577457934793,0.2879577457934793,relapsed,10,0.19702134174251776,0.25297830311864017,0.2941082437554967,0.2821085575549328,0.2875070515283402,0.24327190899088397,0.29432574567940034,0.29232591284481135,0.29257577564165677,0.2901839043866174
2.5,7.25,0.1,7.101743888425491e-05,0.00820849986238988,7.101743888425491e-05,5.714285714285714e-07,4187179527.0,1221270910.0,6359704.5,1227630614.5,0.29166910616679653,0.2931879578088126,0.2931879578088126,relapsed,10,0.2932757488765279,0.29140766739329454,0.29145520242244183,0.29309927626929383,0.29343718411381425,0.28974943502540507,0.2857272374079942,0.2653771306622524,0.2942655721966009,0.29162870349119646
