condition_index,replicate_number,final_generation,final_state,initial_size,s,m,q,r,l,idle,final_total_cells,final_sensitive,final_transient,final_resistant,final_n_clones,fraction_sensitive,fraction_transient,fraction_resistant,treatment_schedule,drug_type,doses_given,treatment_active_at_end,total_cell_events,total_driver_mutations,mutation_rate
2,11,321,relapsed,1000,0.06848784292355799,9.475142670452575e-07,1.1232168515525427e-09,0.00012523986049887384,8.921478759546227e-05,0.2984045685973956,4037857890,3933670753,680,104186457,18701,0.9741974235254723,1.6840612486240816e-07,0.025802408068402824,off,abs,0,False,81593014274,51844,6.353975332483866e-07
2,12,318,relapsed,1000,0.06848784292355799,9.475142670452575e-07,1.1232168515525427e-09,0.00012523986049887384,8.921478759546227e-05,0.2984045685973956,4058277168,3965672347,160,92604661,18996,0.9771812478136782,3.942559696553481e-08,0.022818712760724873,off,abs,0,False,82466053300,52684,6.388568130979053e-07
2,13,323,relapsed,1000,0.06848784292355799,9.475142670452575e-07,1.1232168515525427e-09,0.00012523986049887384,8.921478759546227e-05,0.2984045685973956,4017919953,3862284837,88,155635028,18950,0.9612647544449475,2.1901879835683226e-08,0.03873522365317266,off,abs,0,False,82694312020,52524,6.351585582729901e-07
2,14,312,relapsed,1000,0.06848784292355799,9.475142670452575e-07,1.1232168515525427e-09,0.00012523986049887384,8.921478759546227e-05,0.2984045685973956,4024074964,3940617501,143,83457320,16810,0.9792604601687037,3.5536117313742965e-08,0.02073950429517893,off,abs,0,False,65480615759,42273,6.455803677165296e-07
2,15,316,relapsed,1000,0.06848784292355799,9.475142670452575e-07,1.1232168515525427e-09,0.00012523986049887384,8.921478759546227e-05,0.2984045685973956,4002361647,3901958013,492,100403142,17716,0.9749139026266509,1.2292742220553265e-07,0.025085974445926924,off,abs,0,False,72534228030,46966,6.475012042669698e-07
2,16,323,relapsed,1000,0.06848784292355799,9.475142670452575e-07,1.1232168515525427e-09,0.00012523986049887384,8.921478759546227e-05,0.2984045685973956,4116887708,4040004707,284,76882717,18617,0.9813249701101636,6.898415019873552e-08,0.018674960905686183,off,abs,0,False,79492376924,50511,6.354194195034812e-07
2,17,325,relapsed,1000,0.06848784292355799,9.475142670452575e-07,1.1232168515525427e-09,0.00012523986049887384,8.921478759546227e-05,0.2984045685973956,4049224480,3961847205,2525,87374750,19160,0.9784212321565339,6.235761964967672e-07,0.02157814426726967,off,abs,0,False,82598757309,52985,6.41474541823727e-07
2,18,331,relapsed,1000,0.06848784292355799,9.475142670452575e-07,1.1232168515525427e-09,0.00012523986049887384,8.921478759546227e-05,0.2984045685973956,4096553838,3988916612,125,107637101,19357,0.9737249331373244,3.0513452268218424e-08,0.026275036349223246,off,abs,0,False,84295919116,53787,6.380735931710224e-07
2,19,315,relapsed,1000,0.06848784292355799,9.475142670452575e-07,1.1232168515525427e-09,0.00012523986049887384,8.921478759546227e-05,0.2984045685973956,4156919018,4085463070,358,71455590,17697,0.9828103584191594,8.612147565295678e-08,0.01718955545936498,off,abs,0,False,73726194406,46920,6.364088147777982e-07
2,20,323,relapsed,1000,0.06848784292355799,9.475142670452575e-07,1.1232168515525427e-09,0.00012523986049887384,8.921478759546227e-05,0.2984045685973956,4200959157,4112413568,268,88545321,19117,0.978922530381554,6.379495491010317e-08,0.021077405823491085,off,abs,0,False,81685107868,52151,6.384395070429976e-07
