K,Id,Parent,ParentType,N,Ns,Nr,Nq,T
13683,85870,0,S,12635,12635,0,0,15721
13684,86045,1337,S,18546,18546,0,0,15721
13685,86077,0,S,16922,16922,0,0,15721
13691,86584,0,S,12284,12284,0,0,15721
13691,86644,235,S,7921,7921,0,0,15721
13691,86649,235,S,23254,23254,0,0,15721
13697,87113,0,S,3027,3027,0,0,15721
13698,87219,0,S,5408,5408,0,0,15721
13701,87481,0,S,6232,6232,0,0,15721
13703,87675,0,S,2063,2063,0,0,15721
13706,87975,4241,S,137665,137665,0,0,15721
13707,88011,0,S,12464,12464,0,0,15721
13709,88176,0,S,4825,4825,0,0,15721
13710,88261,0,S,2645,2645,0,0,15721
13715,88804,235,S,13340,13340,0,0,15721
13716,88824,0,S,750,750,0,0,15721
13721,89278,0,S,34857,34857,0,0,15721
13721,89290,0,S,6555,6555,0,0,15721
13722,89412,235,S,138834,138817,0,17,15721
13727,89870,235,S,23932,23932,0,0,15721
13727,89880,235,S,14889,14889,0,0,15721
13729,90025,0,S,21132,21132,0,0,15721
13730,90147,235,S,1599,1599,0,0,15721
13737,90770,0,S,2085,2085,0,0,15721
13739,90927,0,S,4140,4140,0,0,15721
13741,91166,235,S,90488,90270,0,218,15721
13743,91366,235,S,76586,76586,0,0,15721
13744,91461,2157,S,3013,3013,0,0,15721
13746,91615,235,S,9796,9796,0,0,15721
13749,91864,0,S,3413,3413,0,0,15721
13749,91873,235,S,1314,1314,0,0,15721
13750,91956,0,S,1824,1824,0,0,15721
13752,92127,0,S,12750,12750,0,0,15721
13752,92164,0,S,9036,9036,0,0,15721
13757,92644,235,S,56485,56485,0,0,15721
13758,92722,0,S,19756,19756,0,0,15721
13759,92776,0,S,27586,27586,0,0,15721
13760,92885,0,S,12233,12233,0,0,15721
13765,93392,751,S,15444,15444,0,0,15721
13768,93647,235,S,14106,14106,0,0,15721
13770,93844,235,S,5425,5425,0,0,15721
13772,93996,0,S,723,723,0,0,15721
13773,94144,235,S,88902,88902,0,0,15721
13775,94307,235,S,132849,132849,0,0,15721
13780,94792,235,S,35243,35243,0,0,15721
13780,94806,4241,S,72534,72534,0,0,15721
13781,94819,0,S,438,438,0,0,15721
13782,94909,0,S,315,315,0,0,15721
